day,f1,precision,recall,accuracy,support
2010-09-15,0.0,0.0,0.0,0.85,964.0
2010-09-16,0.965,0.6333333333333333,0.98,0.85,964.0
2010-09-17,0.965,0.7055555555555555,0.98,0.85,964.0
2010-09-18,0.0,0.0,0.0,0.85,10.0
2010-09-20,0.0,0.0,0.0,0.85,964.0
2010-09-21,0.965,0.8500000000000001,0.98,0.85,964.0
2010-09-22,0.0,0.0,0.0,0.85,964.0
2010-09-23,0.0,0.0,0.0,0.85,964.0
2010-09-24,0.0,0.0,0.0,0.85,963.0
2010-09-25,0.0,0.0,0.0,0.85,14.0
2010-09-27,0.0,0.0,0.0,0.85,963.0
2010-09-28,0.0,0.0,0.0,0.85,963.0
2010-09-29,0.0,0.0,0.0,0.85,963.0
2010-09-30,0.0,0.0,0.0,0.85,963.0
2010-10-01,0.0,0.0,0.0,0.85,963.0
2010-10-02,0.0,0.0,0.0,0.85,10.0
2010-10-04,0.0,0.0,0.0,0.85,963.0
2010-10-05,0.0,0.0,0.0,0.85,963.0
2010-10-06,0.0,0.0,0.0,0.85,963.0
2010-10-07,0.8400000000000001,0.525,0.98,0.85,963.0
2010-10-08,0.0,0.0,0.0,0.85,963.0
2010-10-09,0.0,0.0,0.0,0.85,10.0
2010-10-11,0.0,0.0,0.0,0.85,963.0
2010-10-12,0.0,0.0,0.0,0.85,963.0
2010-10-13,0.0,0.0,0.0,0.85,963.0
2010-10-14,0.0,0.0,0.0,0.85,963.0
2010-10-15,0.965,0.6333333333333333,0.98,0.85,962.0
2010-10-16,0.0,0.0,0.0,0.85,15.0
2010-10-18,0.826829268292683,0.5151515151515151,0.98,0.85,962.0
2010-10-19,0.965,0.7525,0.98,0.85,962.0
2010-10-20,0.965,0.8500000000000001,0.98,0.85,962.0
2010-10-21,0.0,0.0,0.0,0.85,962.0
2010-10-22,0.6,0.36250000000000004,0.98,0.85,961.0
2010-10-23,0.0,0.0,0.0,0.85,7.0
2010-10-25,0.0,0.0,0.0,0.85,961.0
2010-10-26,0.0,0.0,0.0,0.85,961.0
2010-10-27,0.0,0.0,0.0,0.85,961.0
2010-10-28,0.0,0.0,0.0,0.85,961.0
2010-10-29,0.965,0.955,0.98,0.85,961.0
2010-10-30,0.0,0.0,0.0,0.85,9.0
2010-11-01,0.0,0.0,0.0,0.85,961.0
2010-11-02,0.0,0.0,0.0,0.85,961.0
2010-11-03,0.0,0.0,0.0,0.85,961.0
2010-11-04,0.965,0.6333333333333333,0.98,0.85,961.0
2010-11-05,0.8955882352941176,0.5679245283018868,0.98,0.85,961.0
2010-11-06,0.0,0.0,0.0,0.85,13.0
2010-11-08,0.9230769230769231,0.5900000000000001,0.98,0.85,961.0
2010-11-09,0.965,0.7,0.98,0.85,961.0
2010-11-10,0.0,0.0,0.0,0.85,961.0
2010-11-11,0.7868852459016393,0.48600000000000004,0.98,0.85,961.0
2010-11-12,0.965,0.955,0.98,0.85,960.0
2010-11-13,0.0,0.0,0.0,0.85,10.0
2010-11-15,0.7821428571428573,0.4826086956521739,0.98,0.85,960.0
2010-11-16,0.965,0.7135802469135804,0.98,0.85,960.0
2010-11-17,0.8940000000000001,0.5666666666666667,0.98,0.85,960.0
2010-11-18,0.965,0.8500000000000001,0.98,0.85,960.0
2010-11-19,0.965,0.8500000000000001,0.98,0.85,960.0
2010-11-20,0.0,0.0,0.0,0.85,13.0
2010-11-22,0.0,0.0,0.0,0.85,960.0
2010-11-23,0.0,0.0,0.0,0.85,960.0
2010-11-24,0.965,0.6952380952380952,0.98,0.85,960.0
2010-11-25,0.0,0.0,0.0,0.85,12.0
2010-11-29,0.75,0.46,0.98,0.85,960.0
2010-11-30,0.826829268292683,0.5151515151515151,0.98,0.85,960.0
2010-12-01,0.0,0.0,0.0,0.85,960.0
2010-12-02,0.75,0.46,0.98,0.85,960.0
2010-12-03,0.0,0.0,0.0,0.85,959.0
2010-12-04,0.0,0.0,0.0,0.85,11.0
2010-12-06,0.0,0.0,0.0,0.85,959.0
2010-12-07,0.965,0.955,0.98,0.85,959.0
2010-12-08,0.965,0.955,0.98,0.85,959.0
2010-12-09,0.965,0.955,0.98,0.85,959.0
2010-12-10,0.965,0.955,0.98,0.85,957.0
2010-12-11,0.0,0.0,0.0,0.85,9.0
2010-12-13,0.8294117647058823,0.525,0.98,0.85,957.0
2010-12-14,0.965,0.6333333333333333,0.98,0.85,957.0
2010-12-15,0.6,0.36250000000000004,0.98,0.85,957.0
2010-12-16,0.0,0.0,0.0,0.85,957.0
2010-12-17,0.965,0.7571428571428571,0.98,0.85,956.0
2010-12-18,0.0,0.0,0.0,0.85,12.0
2010-12-20,0.0,0.0,0.0,0.85,956.0
2010-12-21,0.965,0.8500000000000001,0.98,0.85,956.0
2010-12-22,0.965,0.955,0.98,0.85,956.0
2010-12-23,0.0,0.0,0.0,0.85,10.0
2010-12-27,0.0,0.0,0.0,0.85,956.0
2010-12-28,0.965,0.6468750000000001,0.98,0.85,956.0
2010-12-29,0.0,0.0,0.0,0.85,956.0
2010-12-30,0.965,0.8500000000000001,0.98,0.85,956.0
2010-12-31,0.0,0.0,0.0,0.85,11.0
2011-01-03,0.0,0.0,0.0,0.85,956.0
2011-01-04,0.965,0.955,0.98,0.85,956.0
2011-01-05,0.965,0.8500000000000001,0.98,0.85,956.0
2011-01-06,0.0,0.0,0.0,0.85,956.0
2011-01-07,0.965,0.955,0.98,0.85,956.0
2011-01-08,0.0,0.0,0.0,0.85,10.0
2011-01-10,0.965,0.955,0.98,0.85,956.0
2011-01-11,0.0,0.0,0.0,0.85,956.0
2011-01-12,0.7714285714285714,0.47500000000000003,0.98,0.85,956.0
2011-01-13,0.965,0.874074074074074,0.98,0.85,956.0
2011-01-14,0.0,0.0,0.0,0.85,954.0
2011-01-15,0.0,0.0,0.0,0.85,11.0
2011-01-17,0.965,0.7571428571428571,0.98,0.85,954.0
2011-01-18,0.8400000000000001,0.525,0.98,0.85,954.0
2011-01-19,0.965,0.955,0.98,0.85,954.0
2011-01-20,0.965,0.6875,0.98,0.85,954.0
2011-01-21,0.965,0.955,0.98,0.85,951.0
2011-01-22,0.0,0.0,0.0,0.85,12.0
2011-01-24,0.965,0.955,0.98,0.85,951.0
2011-01-25,0.8571428571428572,0.538,0.98,0.85,951.0
2011-01-26,0.965,0.8500000000000001,0.98,0.85,951.0
2011-01-27,0.8999999999999999,0.5714285714285714,0.98,0.85,951.0
2011-01-28,0.965,0.955,0.98,0.85,950.0
2011-01-29,0.965,0.955,0.98,0.85,10.0
2011-01-31,0.965,0.6333333333333333,0.98,0.85,950.0
2011-02-01,0.965,0.955,0.98,0.85,950.0
2011-02-02,0.9456521739130435,0.6205882352941177,0.98,0.85,950.0
2011-02-03,0.965,0.955,0.98,0.85,950.0
2011-02-04,0.0,0.0,0.0,0.85,950.0
2011-02-05,0.0,0.0,0.0,0.85,11.0
2011-02-07,0.95260663507109,0.7434426229508198,0.7876404494382021,0.85,950.0
2011-02-08,0.5734177215189873,0.39622641509433965,0.46923076923076923,0.85,950.0
2011-02-09,0.0,0.0,0.0,0.85,950.0
2011-02-10,0.0,0.0,0.0,0.85,950.0
2011-02-11,0.0,0.0,0.0,0.85,949.0
2011-02-12,0.0,0.0,0.0,0.85,13.0
2011-02-14,0.613953488372093,0.39117647058823535,0.7666666666666666,0.85,949.0
2011-02-15,0.0,0.0,0.0,0.85,949.0
2011-02-16,0.5076923076923077,0.31818181818181823,0.7,0.85,949.0
2011-02-17,0.965,0.6333333333333333,0.98,0.85,949.0
2011-02-18,0.0,0.0,0.0,0.85,949.0
2011-02-19,0.0,0.0,0.0,0.85,9.0
2011-02-21,0.9125000000000001,0.6862595419847328,0.7917647058823528,0.85,949.0
2011-02-22,0.7194174757281553,0.5525423728813559,0.5363636363636364,0.85,949.0
2011-02-23,0.678,0.4493150684931507,0.7222222222222221,0.85,949.0
2011-02-24,0.965,0.8864000000000001,0.771186440677966,0.85,949.0
2011-02-25,0.9194805194805196,0.8151785714285715,0.634453781512605,0.85,947.0
2011-02-26,0.0,0.0,0.0,0.85,3.0
2011-02-28,0.0,0.0,0.0,0.85,947.0
